experiment,policy,category,training_seed,evaluation_seed,episode,max_cycles_per_episode,max_episode_steps,success,failure,completed_cycles,at_least_one_cycle,at_least_two_cycles,at_least_three_cycles,task_return,environment_return,episode_length,dfa_transitions,reached_dfa_states,env_terminated,env_truncated,stopped_at_cycle_cap
prova_atterraggio,best_policy.pth,best,,,429,3,gym_default,1,0,0,0,0,0,10000.0,223.20818016620538,624,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,430,3,gym_default,1,0,0,0,0,0,10000.0,187.16029581347874,712,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,431,3,gym_default,1,0,0,0,0,0,10000.0,257.52330960207445,333,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,432,3,gym_default,1,0,0,0,0,0,10000.0,241.8024165098925,479,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,433,3,gym_default,0,0,0,0,0,0,0.0,-467.9538632510531,442,0,1,1,0,0
prova_atterraggio,best_policy.pth,best,,,434,3,gym_default,0,0,0,0,0,0,0.0,-200.9369208082316,453,0,1,1,0,0
prova_atterraggio,best_policy.pth,best,,,435,3,gym_default,0,0,0,0,0,0,0.0,-339.9689352636685,244,0,1,1,0,0
prova_atterraggio,best_policy.pth,best,,,436,3,gym_default,0,0,0,0,0,0,0.0,-562.8066885555161,326,1,1|2,1,0,0
prova_atterraggio,best_policy.pth,best,,,437,3,gym_default,1,0,0,0,0,0,10000.0,240.71975270076803,334,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,438,3,gym_default,0,0,0,0,0,0,0.0,-199.18745796892148,106,0,1,1,0,0
prova_atterraggio,best_policy.pth,best,,,439,3,gym_default,1,0,0,0,0,0,10000.0,222.28212203540002,335,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,440,3,gym_default,0,0,0,0,0,0,0.0,-299.5279733366525,117,0,1,1,0,0
prova_atterraggio,best_policy.pth,best,,,441,3,gym_default,1,0,0,0,0,0,10000.0,246.2629722095193,313,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,442,3,gym_default,0,0,0,0,0,0,0.0,-391.28151164105617,251,0,1,1,0,0
prova_atterraggio,best_policy.pth,best,,,443,3,gym_default,1,0,0,0,0,0,10000.0,259.6337986643154,407,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,444,3,gym_default,1,0,0,0,0,0,10000.0,224.4495323685425,389,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,445,3,gym_default,0,0,0,0,0,0,0.0,-586.9684789136679,303,1,1|2,1,0,0
prova_atterraggio,best_policy.pth,best,,,446,3,gym_default,0,0,0,0,0,0,0.0,-147.36695957433776,248,0,1,1,0,0
prova_atterraggio,best_policy.pth,best,,,447,3,gym_default,0,0,0,0,0,0,0.0,-275.7186318520509,100,0,1,1,0,0
prova_atterraggio,best_policy.pth,best,,,448,3,gym_default,1,0,0,0,0,0,10000.0,236.59822517709637,316,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,449,3,gym_default,1,0,0,0,0,0,10000.0,245.2848203239217,392,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,450,3,gym_default,1,0,0,0,0,0,10000.0,263.09205824135256,335,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,451,3,gym_default,0,0,0,0,0,0,0.0,-650.1721328159834,555,1,1|2,1,0,0
